model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.input_layernorm.weight,,4.0,norm,input_layernorm,896,1.0212740898132324,0.528146505355835,1.1496208906173706,1.0259236097335815
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.4.post_attention_layernorm.weight,,4.0,norm,post_attention_layernorm,896,1.2230879068374634,0.3418702483177185,1.2699167728424072,1.2230879068374634
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.q_proj.weight,,5.0,attention,q_proj,802816,-9.720902198750991e-06,0.0221333615481853,0.0221333503723144,0.0162568110972642
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.q_proj.bias,,5.0,attention,q_proj,896,-0.0207016821950674,1.920453667640686,1.9194934368133545,0.8442639708518982
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.k_proj.weight,,5.0,attention,k_proj,114688,9.213940211338922e-05,0.0255922432988882,0.0255922973155975,0.018861873075366
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.k_proj.bias,,5.0,attention,k_proj,128,-0.0526390820741653,0.9217062592506408,0.9196065664291382,0.6095733046531677
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.v_proj.weight,,5.0,attention,v_proj,114688,-4.374414857011288e-05,0.0185330063104629,0.0185329765081405,0.0143211660906672
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.v_proj.bias,,5.0,attention,v_proj,128,-0.0414574742317199,0.3589858114719391,0.3599760234355926,0.2176827788352966
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.self_attn.o_proj.weight,,5.0,attention,o_proj,802816,1.680383866187185e-05,0.0179692357778549,0.0179692301899194,0.0135233206674456
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.mlp.gate_proj.weight,,5.0,mlp,gate_proj,4358144,-1.1610179171839263e-05,0.0243432372808456,0.0243432372808456,0.0188099425286054
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.mlp.up_proj.weight,,5.0,mlp,up_proj,4358144,-9.287483408115804e-06,0.0171499010175466,0.0171499028801918,0.0134760309010744
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.5.mlp.down_proj.weight,,5.0,mlp,down_proj,4358144,-2.2146399714984e-05,0.016670012846589,0.0166700258851051,0.0129027385264635
