model,model_label,family,layer_index,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,1,attention,bias,1,512,6.998396873474121,0.0,6.998396873474121,6.998396873474121,6.998396873474121,6.994775295257568,0.0,6.994775295257568,6.994775295257568,6.994775295257568,158.2736974128884,0.0,158.2736974128884,158.2736974128884,158.2736974128884,3.150068521499634,0.0,3.150068521499634,3.150068521499634,3.150068521499634
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,2,attention,bias,1,512,2.8482182025909424,0.0,2.8482182025909424,2.8482182025909424,2.8482182025909424,2.8454430103302,0.0,2.8454430103302,2.8454430103302,2.8454430103302,64.38502553869914,0.0,64.38502553869914,64.38502553869914,64.38502553869914,1.323073387145996,0.0,1.323073387145996,1.323073387145996,1.323073387145996
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,3,attention,bias,1,512,5.22913932800293,0.0,5.22913932800293,5.22913932800293,5.22913932800293,5.225776672363281,0.0,5.225776672363281,5.225776672363281,5.225776672363281,118.24582790382551,0.0,118.24582790382551,118.24582790382551,118.24582790382551,1.878329515457153,0.0,1.878329515457153,1.878329515457153,1.878329515457153
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,4,attention,bias,1,512,0.5019547343254089,0.0,0.5019547343254089,0.5019547343254089,0.5019547343254089,0.5030326843261719,0.0,0.5030326843261719,0.5030326843261719,0.5030326843261719,11.382330311856258,0.0,11.382330311856258,11.382330311856258,11.382330311856258,0.2675142288208008,0.0,0.2675142288208008,0.2675142288208008,0.2675142288208008
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,5,attention,bias,1,512,0.6647635102272034,0.0,0.6647635102272034,0.6647635102272034,0.6647635102272034,0.6646861433982849,0.0,0.6646861433982849,0.6646861433982849,0.6646861433982849,15.04013053944516,0.0,15.04013053944516,15.04013053944516,15.04013053944516,0.354831337928772,0.0,0.354831337928772,0.354831337928772,0.354831337928772
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,6,attention,bias,1,512,1.179850697517395,0.0,1.179850697517395,1.179850697517395,1.179850697517395,1.1788660287857056,0.0,1.1788660287857056,1.1788660287857056,1.1788660287857056,26.674693218074502,0.0,26.674693218074502,26.674693218074502,26.674693218074502,0.4730096757411957,0.0,0.4730096757411957,0.4730096757411957,0.4730096757411957
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,7,attention,bias,1,512,1.0590941905975342,0.0,1.0590941905975342,1.0590941905975342,1.0590941905975342,1.0595293045043943,0.0,1.0595293045043943,1.0595293045043943,1.0595293045043943,23.97441139458956,0.0,23.97441139458956,23.97441139458956,23.97441139458956,0.4935948848724365,0.0,0.4935948848724365,0.4935948848724365,0.4935948848724365
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,8,attention,bias,1,512,0.574714720249176,0.0,0.574714720249176,0.574714720249176,0.574714720249176,0.5742263197898865,0.0,0.5742263197898865,0.5742263197898865,0.5742263197898865,12.99325838909516,0.0,12.99325838909516,12.99325838909516,12.99325838909516,0.2813559770584106,0.0,0.2813559770584106,0.2813559770584106,0.2813559770584106
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,9,attention,bias,1,512,0.7579593658447266,0.0,0.7579593658447266,0.7579593658447266,0.7579593658447266,0.7572802901268005,0.0,0.7572802901268005,0.7572802901268005,0.7572802901268005,17.13529690904246,0.0,17.13529690904246,17.13529690904246,17.13529690904246,0.4447959661483764,0.0,0.4447959661483764,0.4447959661483764,0.4447959661483764
Qwen/Qwen2.5-7B-Instruct,7B,k_proj.bias,10,attention,bias,1,512,0.7441920638084412,0.0,0.7441920638084412,0.7441920638084412,0.7441920638084412,0.7439067959785461,0.0,0.7439067959785461,0.7439067959785461,0.7439067959785461,16.83268928023,0.0,16.83268928023,16.83268928023,16.83268928023,0.3373525738716125,0.0,0.3373525738716125,0.3373525738716125,0.3373525738716125
