model,model_label,family,component,param_kind,tensor_count,total_numel,mean_std,std_std,median_std,min_std,max_std,mean_rms,std_rms,median_rms,min_rms,max_rms,mean_fro_norm,std_fro_norm,median_fro_norm,min_fro_norm,max_fro_norm,mean_abs_mean,std_abs_mean,median_abs_mean,min_abs_mean,max_abs_mean
Qwen/Qwen2.5-1.5B-Instruct,1.5B,norm.weight,norm,weight,1,1536,0.5206122994422913,0.0,0.5206122994422913,0.5206122994422913,0.5206122994422913,3.4988760948181152,0.0,3.4988760948181152,3.4988760948181152,3.4988760948181152,137.12737768841976,0.0,137.12737768841976,137.12737768841976,137.12737768841976,3.4599528312683105,0.0,3.4599528312683105,3.4599528312683105,3.4599528312683105
Qwen/Qwen2.5-1.5B-Instruct,1.5B,o_proj.weight,attention,weight,28,66060288,0.02680572202163078,0.0026361543267369577,0.02592442929744715,0.0229147281497716,0.0338318236172199,0.026805719826370433,0.002636153834059823,0.02592443674802775,0.0229147337377071,0.033831812441349,41.17358565330498,4.049132289115887,39.81993484497062,35.19703102111811,51.96566390991207,0.020326781352715782,0.0018908442226567984,0.01986007764935485,0.017159879207611,0.0262575913220644
Qwen/Qwen2.5-1.5B-Instruct,1.5B,post_attention_layernorm.weight,norm,weight,28,43008,0.24753777656172002,0.06675459152942775,0.23699982464313504,0.1129583343863487,0.3796257078647613,0.9933587163686752,0.22652003823240002,0.9333618581295013,0.4854494929313659,1.6650214195251465,38.93155178638934,8.877736162961874,36.580164764692185,19.02565685719481,65.25524621825812,0.9584612239684377,0.23181261375095777,0.8781968355178833,0.4721361100673675,1.6455841064453125
Qwen/Qwen2.5-1.5B-Instruct,1.5B,q_proj.bias,attention,bias,28,43008,1.5730896890163422,0.3452799702035539,1.5348621606826782,0.91623455286026,2.624666213989258,1.5749946917806352,0.34493682577207957,1.536906123161316,0.9166744351387024,2.624427318572998,61.72693347927389,13.518707466190355,60.23417254886884,35.92615402150104,102.85612476039229,0.6531640823398318,0.13701747320357238,0.6151350736618042,0.4684969782829284,1.1003520488739014
Qwen/Qwen2.5-1.5B-Instruct,1.5B,q_proj.weight,attention,weight,28,66060288,0.029578407494617313,0.003998488644613869,0.02908003050833935,0.0261801686137914,0.0485587567090988,0.02957840962335462,0.003998492073707174,0.029080041684210252,0.0261801891028881,0.0485587827861309,45.4324371814727,6.141683825214219,44.66694402694694,40.21277046203612,74.58629035949706,0.021665042864956973,0.0026593410210560054,0.02147629577666515,0.0185610502958297,0.0331410057842731
Qwen/Qwen2.5-1.5B-Instruct,1.5B,up_proj.weight,mlp,weight,28,385351680,0.028091464324721236,0.0012906944077231736,0.02799356076866385,0.0255419369786977,0.0307068452239036,0.028091464657336425,0.001290693999542411,0.0279935616999864,0.0255419369786977,0.0307068452239036,104.21350341164224,4.788206850922275,103.85030375992375,94.75528488594841,113.9160224835878,0.02204079440395742,0.0010281855776399205,0.02196642290800805,0.0201448313891887,0.0241347886621952
Qwen/Qwen2.5-1.5B-Instruct,1.5B,v_proj.bias,attention,bias,28,7168,0.17177614130611926,0.17244343484710695,0.0988646522164344,0.0412014462053775,0.641166090965271,0.17179174934114724,0.17233500362190013,0.0989737324416637,0.0411796644330024,0.639964759349823,2.748667989458356,2.757360057950402,1.5835797190666192,0.6588746309280384,10.239436149597168,0.05977068209488474,0.04152529071819683,0.0429387856274843,0.0249712839722633,0.2031224966049194
Qwen/Qwen2.5-1.5B-Instruct,1.5B,v_proj.weight,attention,weight,28,11010048,0.028906113534633564,0.00622526671122523,0.02766729425638905,0.0187312550842762,0.0478986911475658,0.028906105485345588,0.00622525262264683,0.02766726259142155,0.0187314637005329,0.0478986762464046,18.126133475881616,3.9036652660243165,17.34929303771541,11.745927219653316,30.03579293656584,0.02194141313832781,0.004358541349271194,0.021339425817131948,0.0145754953846335,0.0359940752387046
Qwen/Qwen2.5-32B-Instruct,32B,down_proj.weight,mlp,weight,64,9059696640,0.02185109132551584,0.003021967372333954,0.02230021636933085,0.0057805329561233,0.0241782739758491,0.02185109145648307,0.0030219674072264825,0.022300217300653402,0.0057805329561233,0.024178272113204,259.9800216803761,35.95477844265915,265.32363332271245,68.77565298053734,287.6683629604156,0.017058141023880983,0.003082147584660804,0.01767480745911595,0.0023342568892985,0.0191723387688398
Qwen/Qwen2.5-32B-Instruct,32B,embed_tokens.weight,embedding,weight,1,778567680,0.0175005737692117,0.0,0.0175005737692117,0.0175005737692117,0.0175005737692117,0.0175005737692117,0.0,0.0175005737692117,0.0175005737692117,0.0175005737692117,488.3154588911285,0.0,488.3154588911285,488.3154588911285,488.3154588911285,0.0134249553084373,0.0,0.0134249553084373,0.0134249553084373,0.0134249553084373
Qwen/Qwen2.5-32B-Instruct,32B,gate_proj.weight,mlp,weight,64,9059696640,0.021962641752907026,0.002991282666050982,0.0225912230089306,0.0051755672320723,0.0245227068662643,0.02196265273232707,0.002991274637104854,0.0225912472233176,0.0051756505854427,0.0245227478444576,261.3073559680191,35.589601853766865,268.7862505450402,61.57888058329572,291.76686798283197,0.01712486400720076,0.0031002291722408565,0.0178602430969476,0.0016007840167731,0.0193153396248817
Qwen/Qwen2.5-32B-Instruct,32B,input_layernorm.weight,norm,weight,64,327680,0.18800928824930452,0.09019807250804396,0.1792901381850242,0.0179266463965177,0.4913883507251739,0.5249252214562148,0.18022893398465875,0.5411423146724701,0.0495987460017204,0.9168559312820436,37.560591304967275,12.89613273286461,38.7209920354952,3.548997365074967,65.60487001345682,0.48456684965640306,0.17266069525983316,0.5007477253675461,0.0170491337776184,0.7746351361274719
Qwen/Qwen2.5-32B-Instruct,32B,k_proj.bias,attention,bias,64,65536,0.9236289937980473,0.5582005352126704,0.7637335658073425,0.3259932994842529,3.288727045059204,0.923710242845118,0.558289343664499,0.7634186446666718,0.3258354961872101,3.2902069091796875,29.558727771043777,17.865258997263968,24.429396629333496,10.426735877990723,105.28662109375,0.4720368462149054,0.35209300201363386,0.3999713063240051,0.182165265083313,2.0790457725524902
Qwen/Qwen2.5-32B-Instruct,32B,k_proj.weight,attention,weight,64,335544320,0.022711594545398794,0.003357631750290404,0.023959328420460148,0.0096248686313629,0.0301660504192113,0.022711595243890725,0.00335763219479348,0.0239593312144279,0.0096248686313629,0.0301660634577274,52.0035029430278,7.688083282944036,54.86048592987483,22.038385187054395,69.07224934917204,0.017180030859890345,0.002881617811041836,0.01826121564954515,0.0052439197897911,0.0232905782759189
Qwen/Qwen2.5-32B-Instruct,32B,lm_head.weight,lm_head,weight,1,778567680,0.0175969917327165,0.0,0.0175969917327165,0.0175969917327165,0.0175969917327165,0.0175970215350389,0.0,0.0175970215350389,0.0175970215350389,0.0175970215350389,491.0066240866257,0.0,491.0066240866257,491.0066240866257,491.0066240866257,0.0137410825118422,0.0,0.0137410825118422,0.0137410825118422,0.0137410825118422
Qwen/Qwen2.5-32B-Instruct,32B,norm.weight,norm,weight,1,5120,0.3451561033725738,0.0,0.3451561033725738,0.3451561033725738,0.3451561033725738,2.094171524047852,0.0,2.094171524047852,2.094171524047852,2.094171524047852,149.84671629809066,0.0,149.84671629809066,149.84671629809066,149.84671629809066,2.0656392574310303,0.0,2.0656392574310303,2.0656392574310303,2.0656392574310303
