model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,all,51,12,487605248,0.023584849880726216,0.18809079627195993,0.028192410245537758,0.023596613894314486,0.28142212160552543,0.018657655313168823
Qwen/Qwen2.5-32B-Instruct,32B,all,52,12,487605248,0.02364756747225852,0.202568042712907,0.030228130519390106,0.023660131631266044,0.30225872589896124,0.01871632318778862
Qwen/Qwen2.5-32B-Instruct,32B,all,53,12,487605248,0.023699272539556688,0.18313671353583535,0.028561675921082497,0.023711845306966507,0.28289491559068364,0.01878959757302422
Qwen/Qwen2.5-32B-Instruct,32B,all,54,12,487605248,0.023744855695658946,0.18232899190237126,0.029026195406913757,0.023757950836754485,0.2863344387151301,0.018846140761782284
Qwen/Qwen2.5-32B-Instruct,32B,all,55,12,487605248,0.023793057800977187,0.18092645068342486,0.03082023561000824,0.02380648818058501,0.2874649770868321,0.018889685735837887
Qwen/Qwen2.5-32B-Instruct,32B,all,56,12,487605248,0.023766494024623212,0.1758228886562089,0.030824102461338043,0.02377974057286594,0.2809133157134056,0.018870121440461272
Qwen/Qwen2.5-32B-Instruct,32B,all,57,12,487605248,0.02383475296742214,0.1961220131876568,0.03147447481751442,0.023848877128662398,0.30819922235483926,0.0189357845618448
Qwen/Qwen2.5-32B-Instruct,32B,all,58,12,487605248,0.02386458993964024,0.19733504128331938,0.030617939308285713,0.023877678203605344,0.30119196558371186,0.018944185001538643
Qwen/Qwen2.5-32B-Instruct,32B,all,59,12,487605248,0.023887288487160683,0.19398695696145296,0.035030752420425415,0.023901266329704712,0.30495610072587925,0.018946113047795074
Qwen/Qwen2.5-32B-Instruct,32B,all,60,12,487605248,0.023863195345250488,0.18764168101673326,0.03596608340740204,0.023878043310202938,0.305469654345264,0.018914209962845995
Qwen/Qwen2.5-32B-Instruct,32B,all,61,12,487605248,0.02374428194252835,0.20591869220758477,0.03631618991494179,0.023759625355686355,0.3278299472294748,0.018802855470823616
Qwen/Qwen2.5-32B-Instruct,32B,all,62,12,487605248,0.023592591376456206,0.21028934481243292,0.038608625531196594,0.023608224509780402,0.3343437967511515,0.0186279935472733
Qwen/Qwen2.5-32B-Instruct,32B,all,63,12,487605248,0.0230892366230691,0.28296350377301377,0.028876615688204765,0.023106788395062874,0.4222306217998266,0.01816864099373024
Qwen/Qwen2.5-32B-Instruct,32B,attention,0,7,62921728,0.02118750512362291,0.6462977853204522,0.030166050419211388,0.02118755633858922,0.646549676145826,0.016229592902818637
Qwen/Qwen2.5-32B-Instruct,32B,attention,1,7,62921728,0.009852904345183211,0.6062825142538973,0.013625365681946278,0.009852874151852967,0.6061197204648384,0.00614483276947154
