model,model_label,layer_index,component,mean_rms,std_rms,mean_fro_norm,std_fro_norm,mean_tensor_std,std_tensor_std
Qwen/Qwen2.5-1.5B-Instruct,1.5B,17,mlp,0.02737286873161787,0.0005282048938513916,101.54766167394895,1.9595305256912654,0.0273728699733813,0.0005282054022417856
Qwen/Qwen2.5-1.5B-Instruct,1.5B,17,norm,1.16888165473938,0.26235914230346685,45.81061798098463,10.282336447963747,0.4391021430492401,0.1345407068729401
Qwen/Qwen2.5-1.5B-Instruct,1.5B,18,all,0.46244748511041206,0.6435309303367099,49.91919593309089,34.559111309546154,0.35235703627889353,0.5887265958079195
Qwen/Qwen2.5-1.5B-Instruct,1.5B,18,attention,0.48470732676131384,0.7265428221091492,30.298469334481243,21.669793944192016,0.4847836819078241,0.7266669457382978
Qwen/Qwen2.5-1.5B-Instruct,1.5B,18,mlp,0.02746390365064137,0.0004975786484305863,101.88538232895782,1.8459135117484435,0.02746390240887796,0.0004975788429685439
Qwen/Qwen2.5-1.5B-Instruct,1.5B,18,norm,1.0370134115219116,0.1469353437423706,40.64245943442421,5.758665877588115,0.3762034773826599,0.10562124848365781
Qwen/Qwen2.5-1.5B-Instruct,1.5B,19,all,0.40494891519968707,0.5648092636767394,49.07153454259352,35.82100686920923,0.2816112305348118,0.4674860056720768
Qwen/Qwen2.5-1.5B-Instruct,1.5B,19,attention,0.3676651293145759,0.5783466458548097,27.337227815587575,20.40409565518839,0.3671032969972917,0.5772147546786232
Qwen/Qwen2.5-1.5B-Instruct,1.5B,19,mlp,0.027962346871693865,0.0006361297949252221,103.73450322568897,2.359909508540834,0.027962345009048734,0.0006361284843186205
Qwen/Qwen2.5-1.5B-Instruct,1.5B,19,norm,1.100922018289566,0.20232972502708435,43.14715506247114,7.929673377823743,0.36286232620477676,0.12825687974691394
Qwen/Qwen2.5-1.5B-Instruct,1.5B,20,all,0.37389233879124123,0.5010122465733473,48.812387415868635,35.65945276151178,0.240019002618889,0.3872476310454053
