model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-3B-Instruct,3B,all,2,12,77076992,0.014403524553670726,0.3868520559432606,0.02817368693649769,0.014426968175626578,0.4642805736511946,0.007577439797131339
Qwen/Qwen2.5-3B-Instruct,3B,all,3,12,77076992,0.018307224005782833,0.2730883345939219,0.03621796891093254,0.01833998138587686,0.3756814628529052,0.010809355943799379
Qwen/Qwen2.5-3B-Instruct,3B,all,4,12,77076992,0.019159969843319698,0.23701776983216405,0.03449881076812744,0.019188296306461877,0.32570779711628955,0.011897427271478331
Qwen/Qwen2.5-3B-Instruct,3B,all,5,12,77076992,0.023771303367030067,0.24995599562923113,0.033148255199193954,0.023798309665126596,0.33449064459030825,0.01682401591372981
Qwen/Qwen2.5-3B-Instruct,3B,all,6,12,77076992,0.02586560246423307,0.21461395810668668,0.028508935123682022,0.02589910917364848,0.3194677468078832,0.01917979452832053
Qwen/Qwen2.5-3B-Instruct,3B,all,7,12,77076992,0.02511276114994731,0.2021023666796585,0.026982882991433144,0.025149834585616114,0.31837247715642053,0.018710750561796018
Qwen/Qwen2.5-3B-Instruct,3B,all,8,12,77076992,0.026758745614623086,0.20213789958506823,0.02981768734753132,0.026796973117478647,0.32188514604543644,0.02100316049237701
Qwen/Qwen2.5-3B-Instruct,3B,all,9,12,77076992,0.02663407058729898,0.218826443888247,0.0329882986843586,0.026669352875411962,0.32957045811538893,0.020780937725089762
Qwen/Qwen2.5-3B-Instruct,3B,all,10,12,77076992,0.026558520962355,0.22102443423743048,0.03058779239654541,0.02659116828181183,0.3233325434848666,0.020781346111897775
Qwen/Qwen2.5-3B-Instruct,3B,all,11,12,77076992,0.02676492452907227,0.23460759998609623,0.02965986728668213,0.026792014585288192,0.3194323708303273,0.020950090944869545
Qwen/Qwen2.5-3B-Instruct,3B,all,12,12,77076992,0.02681772674845271,0.2294751921047767,0.03018714115023613,0.026847203842512463,0.321847395816197,0.020976345642826345
Qwen/Qwen2.5-3B-Instruct,3B,all,13,12,77076992,0.026886083716301624,0.2354458326784273,0.03452569618821144,0.02691322367311034,0.32040480663999915,0.021104073288309
Qwen/Qwen2.5-3B-Instruct,3B,all,14,12,77076992,0.026875878509620983,0.23338482606535157,0.03073546662926674,0.026904061478671876,0.3217738466337323,0.02111609324944241
Qwen/Qwen2.5-3B-Instruct,3B,all,15,12,77076992,0.026762655263640453,0.24146972286204496,0.030341897159814835,0.026791148961288,0.3306212973160048,0.020968494744534914
Qwen/Qwen2.5-3B-Instruct,3B,all,16,12,77076992,0.026482965634196252,0.25519560401638347,0.03090076893568039,0.026512604426520356,0.3484458567885061,0.020765896588063555
Qwen/Qwen2.5-3B-Instruct,3B,all,17,12,77076992,0.026042908587088225,0.22550725362574062,0.027978776022791862,0.026072378320345934,0.3177764262072742,0.02030137941796466
Qwen/Qwen2.5-3B-Instruct,3B,all,18,12,77076992,0.025965066487706714,0.39033617498353124,0.028594957664608955,0.025993910088456435,0.4804566134698689,0.020238555035093232
Qwen/Qwen2.5-3B-Instruct,3B,all,19,12,77076992,0.025570678834734406,0.3365413953239719,0.030905578285455704,0.025600741582669097,0.4308627660696705,0.01981984649058363
Qwen/Qwen2.5-3B-Instruct,3B,all,20,12,77076992,0.026282899143967982,0.37717489975815016,0.02678656578063965,0.026313930262322396,0.47423963916177553,0.02027891814346824
Qwen/Qwen2.5-3B-Instruct,3B,all,21,12,77076992,0.026197958624398738,0.29459544938678545,0.02771260030567646,0.026231696671097482,0.4005972561426461,0.020394100337587494
Qwen/Qwen2.5-3B-Instruct,3B,all,22,12,77076992,0.02618228660045541,0.2499888950648407,0.02654055319726467,0.02621692936846466,0.35860152713333565,0.020423807663822905
Qwen/Qwen2.5-3B-Instruct,3B,all,23,12,77076992,0.025936446579551957,0.29841063140581053,0.03006838448345661,0.02596972926773291,0.4026114600710571,0.020168620279806353
Qwen/Qwen2.5-3B-Instruct,3B,all,24,12,77076992,0.025845665287787506,0.27852389092246693,0.02725202403962612,0.02587894204543676,0.38316953942800563,0.020171438895751955
Qwen/Qwen2.5-3B-Instruct,3B,all,25,12,77076992,0.026094458013050974,0.25868290243670344,0.026769042015075684,0.026132336201054325,0.37737188131238025,0.020292273130695197
Qwen/Qwen2.5-3B-Instruct,3B,all,26,12,77076992,0.02647715068145183,0.2629436299515267,0.028876379132270813,0.02651319765325834,0.37586243854214746,0.020595636870447877
Qwen/Qwen2.5-3B-Instruct,3B,all,27,12,77076992,0.026572119519217934,0.8384511008237799,0.02754383720457554,0.026613190202104387,0.96705142268911,0.020624119136214602
Qwen/Qwen2.5-3B-Instruct,3B,all,28,12,77076992,0.026759998935495966,0.24092367151752114,0.030169827863574028,0.026800046109788582,0.3664612028126915,0.020924569254688625
Qwen/Qwen2.5-3B-Instruct,3B,all,29,12,77076992,0.02679203339956196,0.3073325289102892,0.03006507270038128,0.026834851703404154,0.4418405960313976,0.02098122375766552
Qwen/Qwen2.5-3B-Instruct,3B,all,30,12,77076992,0.026887100904564493,0.22625441337004304,0.03010130114853382,0.026930607759255935,0.36258496219913167,0.020907216255938506
Qwen/Qwen2.5-3B-Instruct,3B,all,31,12,77076992,0.027168422684983803,0.2886997756237785,0.028404438868165016,0.027209861046111415,0.4185816158230106,0.0210621088425273
Qwen/Qwen2.5-3B-Instruct,3B,all,32,12,77076992,0.0274644272215579,0.3069959917726616,0.030775107443332672,0.027502735502518378,0.426976954874893,0.021498697876893416
Qwen/Qwen2.5-3B-Instruct,3B,all,33,12,77076992,0.02766089341059333,0.2970596058294177,0.04857802391052246,0.02769857980343334,0.41510662746926147,0.021660120926575713
Qwen/Qwen2.5-3B-Instruct,3B,all,34,12,77076992,0.026956446042159268,0.29647858270133537,0.036920215934515,0.02701661551796341,0.4850366289416949,0.02133649900361503
Qwen/Qwen2.5-3B-Instruct,3B,all,35,12,77076992,0.026015798518025154,0.3397863813055058,0.03496783971786499,0.026083664042650934,0.5536282559235891,0.020484388032185913
Qwen/Qwen2.5-3B-Instruct,3B,attention,0,7,9439744,0.030265378040838585,2.424542283639312,0.05099545791745186,0.030264972081788678,2.420583906982626,0.022892333466519036
Qwen/Qwen2.5-3B-Instruct,3B,attention,1,7,9439744,0.026369641360459,0.7888394075312785,0.04230697825551033,0.02636980446460753,0.7895561706806932,0.02002344132329471
Qwen/Qwen2.5-3B-Instruct,3B,attention,2,7,9439744,0.025783460413798785,0.5356580713497741,0.02817368693649769,0.025785639433878932,0.5438246881323201,0.019652423720321704
Qwen/Qwen2.5-3B-Instruct,3B,attention,3,7,9439744,0.025810184043597688,0.34665862364428385,0.03621796891093254,0.025810367101396788,0.3465605705444302,0.019862109528803067
Qwen/Qwen2.5-3B-Instruct,3B,attention,4,7,9439744,0.026652402965592487,0.32008437040661064,0.03449881076812744,0.026652954973722123,0.3202854014400925,0.020311580425688133
Qwen/Qwen2.5-3B-Instruct,3B,attention,5,7,9439744,0.02603487614917058,0.3265558161905834,0.033148255199193954,0.02603481952342448,0.3265471349337271,0.019399880064609847
Qwen/Qwen2.5-3B-Instruct,3B,attention,6,7,9439744,0.027012576392016322,0.29898339563182424,0.028508935123682022,0.027012962013308876,0.29909970904035227,0.020475060215453533
Qwen/Qwen2.5-3B-Instruct,3B,attention,7,7,9439744,0.025917886020778855,0.27140941923218115,0.026982882991433144,0.0259180459927699,0.2716866742287363,0.01991217806658495
Qwen/Qwen2.5-3B-Instruct,3B,attention,8,7,9439744,0.02650763210995853,0.2774645438683884,0.028703132644295692,0.026507594934442658,0.27747342735528946,0.020601540513253008
Qwen/Qwen2.5-3B-Instruct,3B,attention,9,7,9439744,0.027212523427770828,0.3114394082554749,0.0329882986843586,0.027212491105619005,0.3115739737238203,0.02102834751641897
Qwen/Qwen2.5-3B-Instruct,3B,attention,10,7,9439744,0.026199667095893917,0.31462791056505274,0.02747093141078949,0.02619958239792242,0.31446254067122936,0.019955669863682645
Qwen/Qwen2.5-3B-Instruct,3B,attention,11,7,9439744,0.0268957608818843,0.33542569247739656,0.02806100808084011,0.026896053140475523,0.3356264042002814,0.020533457927799034
Qwen/Qwen2.5-3B-Instruct,3B,attention,12,7,9439744,0.02684808364779027,0.320481328027589,0.02945074439048767,0.02684826191597371,0.3205505255609751,0.020549133729134878
Qwen/Qwen2.5-3B-Instruct,3B,attention,13,7,9439744,0.02642456385279585,0.3434601149388722,0.03452569618821144,0.026425021450265263,0.3436055284525667,0.019878705266503247
Qwen/Qwen2.5-3B-Instruct,3B,attention,14,7,9439744,0.027046588664071166,0.3341946897229978,0.03073546662926674,0.02704695100507761,0.33453802657978876,0.020778427895728528
Qwen/Qwen2.5-3B-Instruct,3B,attention,15,7,9439744,0.026571672859547577,0.33999834422554287,0.030341897159814835,0.026571954735536318,0.3400131780654192,0.02002517594899539
Qwen/Qwen2.5-3B-Instruct,3B,attention,16,7,9439744,0.027062725579948915,0.3519730700978211,0.03090076893568039,0.027063450815087705,0.3530089990901096,0.02092513911363026
Qwen/Qwen2.5-3B-Instruct,3B,attention,17,7,9439744,0.02544966873975459,0.28794649615883827,0.027978776022791862,0.02544965777159636,0.28782726052616325,0.018884114753387235
Qwen/Qwen2.5-3B-Instruct,3B,attention,18,7,9439744,0.025977315477448585,0.5592672212847641,0.028594957664608955,0.025977984309607047,0.5591964362455266,0.019838692621204836
Qwen/Qwen2.5-3B-Instruct,3B,attention,19,7,9439744,0.025550308877311967,0.45524314578090397,0.030905578285455704,0.025551468919718764,0.45619835065943853,0.018771878275902085
Qwen/Qwen2.5-3B-Instruct,3B,attention,20,7,9439744,0.025930530989969242,0.4999495377498014,0.025912191718816757,0.025930951760669927,0.4997943834002529,0.018875187223390946
Qwen/Qwen2.5-3B-Instruct,3B,attention,21,7,9439744,0.025866055164732477,0.3708554245531559,0.02771260030567646,0.02586654440009404,0.3715709125889199,0.019523655791953993
Qwen/Qwen2.5-3B-Instruct,3B,attention,22,7,9439744,0.026143789020729,0.3166767342814377,0.02649477683007717,0.026144514299814778,0.3171005698719195,0.019711690151745426
Qwen/Qwen2.5-3B-Instruct,3B,attention,23,7,9439744,0.025498569434993713,0.40351431417678085,0.03006838448345661,0.025498879115181734,0.40346068383327555,0.019006918841592984
Qwen/Qwen2.5-3B-Instruct,3B,attention,24,7,9439744,0.026082753827401883,0.37547121569514275,0.02725202403962612,0.026083014741181913,0.37612718822700636,0.01979652836303775
Qwen/Qwen2.5-3B-Instruct,3B,attention,25,7,9439744,0.02554180683953944,0.34132293292454313,0.025915885344147682,0.02554181181383348,0.34114230424165726,0.01891920603429857
