run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,seed,train_reward,base_train_accuracy,above_base_train,above_base_train_plus_0.05,results_path
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.0005,952224736,0.06349999999999999,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,1634535043,0.058499999999999996,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.002,1688060222,0.0584,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,594336917,0.05229999999999999,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,202244311,0.0375,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.003,1497586416,0.0305,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,1171300107,0.0101,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,1843166516,0.006500000000000001,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,1382689807,0.0045000000000000005,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,1102145661,0.0025,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,275121928,0.0005000000000000001,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,137046513,0.0005,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234612,Qwen/Qwen2.5-3B-Instruct,per_parameter,absolute,False,False,0.005,967196427,0.0,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234612/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,487991437,0.27160000000000006,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,942484256,0.22150000000000003,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,184566851,0.20130000000000003,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,864178261,0.1985000000000001,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,929893122,0.19620000000000007,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,1356488968,0.19390000000000004,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,796282686,0.16940000000000002,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,432652527,0.16820000000000004,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,967354520,0.16170000000000007,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1688060222,0.15880000000000005,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,392022356,0.15600000000000003,0.10280000000000003,True,True,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1906728915,0.14340000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1678403319,0.14210000000000003,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,1190961758,0.13540000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1074497546,0.13520000000000004,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,197860368,0.1301,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,1540770702,0.12840000000000004,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1130604982,0.12000000000000002,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,952224736,0.1164,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1843824963,0.10980000000000001,0.10280000000000003,True,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1777324406,0.10030000000000003,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,1580016164,0.10020000000000003,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234617/results.json
countdown_20260313_234617,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,1662057929,0.09730000000000003,0.10280000000000003,False,False,codex/experiments/countdown_20260313_234617/results.json
