run_dir,model,perturb_seed_mode,perturb_scale_mode,skip_base_test_eval,skip_ensemble_eval,sigma,mean_reward,count,results_path
countdown_20260314_000312,Qwen/Qwen2.5-1.5B-Instruct,per_parameter,absolute,False,False,0.001,0.0625,6,codex/experiments/countdown_20260314_000312/results.json
countdown_20260314_000312,Qwen/Qwen2.5-1.5B-Instruct,per_parameter,absolute,False,False,0.002,0.07842857142857143,7,codex/experiments/countdown_20260314_000312/results.json
countdown_20260314_000312,Qwen/Qwen2.5-1.5B-Instruct,per_parameter,absolute,False,False,0.003,0.08973333333333335,12,codex/experiments/countdown_20260314_000312/results.json
countdown_20260314_000312,Qwen/Qwen2.5-1.5B-Instruct,per_parameter,absolute,False,False,0.005,0.0185,8,codex/experiments/countdown_20260314_000312/results.json
countdown_20260314_001149,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.0005,0.09768571428571429,7,codex/experiments/countdown_20260314_001149/results.json
countdown_20260314_001149,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.001,0.09916666666666668,6,codex/experiments/countdown_20260314_001149/results.json
countdown_20260314_001149,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.002,0.07997142857142855,7,codex/experiments/countdown_20260314_001149/results.json
countdown_20260314_001149,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.003,0.06899166666666666,12,codex/experiments/countdown_20260314_001149/results.json
countdown_20260314_001149,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.005,0.026762499999999995,8,codex/experiments/countdown_20260314_001149/results.json
countdown_20260314_092348,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.0005,0.4123275000000001,200,codex/experiments/countdown_20260314_092348/results.json
countdown_20260314_092353,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.0005,0.13938900000000004,200,codex/experiments/countdown_20260314_092353/results.json
countdown_20260314_092355,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.0005,0.0813795,200,codex/experiments/countdown_20260314_092355/results.json
countdown_20260314_100101,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.001,0.08265700000000001,200,codex/experiments/countdown_20260314_100101/results.json
countdown_20260314_100951,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.001,0.14534900000000003,200,codex/experiments/countdown_20260314_100951/results.json
countdown_20260314_102609,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.001,0.38123550000000006,200,codex/experiments/countdown_20260314_102609/results.json
countdown_20260314_104133,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.002,0.07402700000000001,200,codex/experiments/countdown_20260314_104133/results.json
countdown_20260314_105941,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.002,0.1287265,200,codex/experiments/countdown_20260314_105941/results.json
countdown_20260314_112023,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.003,0.0656225,200,codex/experiments/countdown_20260314_112023/results.json
countdown_20260314_112938,Qwen/Qwen2.5-7B-Instruct,global_stream,absolute,False,False,0.002,0.28410150000000006,200,codex/experiments/countdown_20260314_112938/results.json
countdown_20260314_114647,Qwen/Qwen2.5-3B-Instruct,global_stream,absolute,False,False,0.003,0.0861055,200,codex/experiments/countdown_20260314_114647/results.json
countdown_20260314_115707,Qwen/Qwen2.5-1.5B-Instruct,global_stream,absolute,False,False,0.005,0.026997,200,codex/experiments/countdown_20260314_115707/results.json
